Subject,Supervoxel,Habitats,Count,raw-T1,raw-T2,raw-T1-original,raw-T2-original
sub22,1,4,22,9.0,9.0,761.3636363636364,746.8636363636364
sub22,2,1,20,3.0,3.0,564.3,386.35
sub22,3,3,13,5.0,6.0,618.6923076923077,559.4615384615385
sub22,4,1,13,0.0,3.0,451.84615384615387,389.15384615384613
sub22,5,1,32,0.0,0.0,435.5625,230.71875
sub22,6,3,19,3.0,5.0,562.1578947368421,488.57894736842104
sub22,7,2,6,6.0,4.0,636.6666666666666,453.1666666666667
sub22,8,4,13,7.0,7.0,667.2307692307693,592.8461538461538
sub22,9,1,10,2.0,0.0,526.9,282.5
sub22,10,4,9,5.0,8.0,600.4444444444445,650.8888888888889
sub22,11,2,4,9.0,2.0,718.0,365.75
sub22,12,4,9,6.0,9.0,628.5555555555555,693.2222222222222
sub22,13,3,3,2.0,7.0,520.0,610.6666666666666
sub22,14,1,3,5.0,0.0,614.0,248.0
sub22,15,1,15,4.0,3.0,593.4,407.46666666666664
sub22,16,4,8,9.0,6.0,736.625,556.625
sub22,17,1,21,2.0,2.0,521.7142857142857,344.5238095238095
sub22,18,3,5,1.0,6.0,495.6,545.2
sub22,19,3,18,4.0,6.0,581.5555555555555,549.4444444444445
sub22,20,1,19,1.0,0.0,487.2631578947368,257.89473684210526
sub22,21,2,19,5.0,4.0,610.2105263157895,475.36842105263156
sub22,22,1,14,2.0,3.0,532.1428571428571,394.64285714285717
sub22,23,1,4,4.0,1.0,575.5,301.75
sub22,24,2,6,7.0,5.0,682.1666666666666,499.8333333333333
sub22,25,1,11,0.0,1.0,467.45454545454544,303.1818181818182
sub22,26,4,7,8.0,9.0,702.1428571428571,719.1428571428571
sub22,27,4,10,9.0,8.0,749.5,637.7
sub22,28,3,5,1.0,5.0,501.6,487.4
sub22,29,4,10,6.0,8.0,653.7,634.2
sub22,30,1,15,3.0,2.0,546.3333333333334,350.53333333333336
sub22,31,3,17,4.0,5.0,585.5882352941177,505.7647058823529
sub22,32,4,13,6.0,6.0,637.4615384615385,534.3846153846154
sub22,33,4,10,5.0,8.0,624.3,634.9
sub22,34,1,13,3.0,4.0,564.8461538461538,431.84615384615387
sub22,35,1,10,2.0,4.0,530.3,457.6
sub22,36,4,11,8.0,7.0,691.2727272727273,573.9090909090909
sub22,37,2,3,8.0,3.0,688.3333333333334,410.3333333333333
sub22,38,3,8,2.0,6.0,534.375,528.625
sub22,39,2,4,7.0,1.0,659.0,323.25
sub22,40,2,4,9.0,4.0,739.5,466.0
sub22,41,1,4,0.0,4.0,463.0,462.5
sub22,42,1,6,4.0,2.0,595.8333333333334,352.5
sub22,43,2,21,4.0,4.0,587.3333333333334,456.4761904761905
sub22,44,4,9,5.0,7.0,601.5555555555555,595.5555555555555
sub22,45,2,9,6.0,5.0,648.0,500.77777777777777
sub22,46,1,3,3.0,0.0,563.0,197.33333333333334
sub22,47,1,22,1.0,1.0,496.54545454545456,314.72727272727275
sub22,48,4,9,7.0,9.0,666.1111111111111,764.4444444444445
sub22,49,1,20,1.0,3.0,502.25,398.25
sub22,50,3,9,3.0,7.0,561.5555555555555,611.5555555555555
sub1,1,4,62,9.0,9.0,513.5967741935484,408.7258064516129
sub1,2,3,29,2.0,7.0,418.2758620689655,366.41379310344826
sub1,3,1,60,2.0,1.0,405.96666666666664,260.43333333333334
