feature,variance,selected
worst area,328485.7912401337,True
worst perimeter,1164.4178136722408,True
worst texture,40.37099414046823,True
worst radius,24.101409945719062,True
worst compactness,0.02969218608889186,False
concavity error,0.001270453423013099,False
worst smoothness,0.0005555636014035674,False
compactness error,0.0004122053896509587,False
worst fractal dimension,0.0004081822486911929,False
symmetry error,8.532542041979934e-05,False
concave points error,4.278765168199553e-05,False
fractal dimension error,9.68695318462999e-06,False
