Family,Feature,IBSI ID,IBSI,HABIT,PyRadiomics,Note
shape,MeshVolume,RNU0,556,556.3333333,556.3333333,shape via PyRadiomics; IBSI rounded
shape,VoxelVolume,YEKZ,592,592,592,shape via PyRadiomics (traditional path)
shape,SurfaceArea,C0JK,388,388.0706299,388.0706299,shape via PyRadiomics; IBSI rounded
shape,SurfaceVolumeRatio,2PR5,0.698,0.697550563,0.697550563,shape via PyRadiomics (traditional path)
shape,Sphericity,QCFX,0.843,0.8429401437,0.8429401437,shape via PyRadiomics (traditional path)
shape,Maximum3DDiameter,L0JK,13.1,13.11487705,13.11487705,shape via PyRadiomics (traditional path)
firstorder,Mean,Q4LE,2.15,2.148648649,2.148648649,
firstorder,Variance,ECT3,3.05,3.045471147,3.045471147,
firstorder,Skewness,KE2A,1.08,1.083820723,1.083820723,
firstorder,Kurtosis,IPH6,-0.355,2.645379519,2.645379519,Pearson kurtosis; IBSI is excess (HABIT = IBSI + 3)
firstorder,Median,Y12H,1,1,1,
firstorder,Minimum,1GSF,1,1,1,
firstorder,10Percentile,QG58,1,1,1,
firstorder,90Percentile,8DWT,4,4,4,
firstorder,Maximum,84IY,6,6,6,
firstorder,InterquartileRange,SALO,3,3,3,
firstorder,Range,2OJQ,5,5,5,
firstorder,MeanAbsoluteDeviation,4FUA,1.55,1.552227904,1.552227904,
firstorder,RobustMeanAbsoluteDeviation,1128,1.11,1.113833816,1.113833816,
firstorder,Energy,N8CA,567,567,567,
firstorder,RootMeanSquared,5ZWQ,2.77,2.768061084,2.768061084,
firstorder,Entropy,TLU2,1.27,1.265611556,1.265611556,
firstorder,Uniformity,BJ5W,0.512,0.5124178232,0.5124178232,
glcm,MaximumProbability,GYBY,0.503,0.5028111708,0.5028111708,
glcm,JointAverage,60VM,2.14,2.142995006,2.142995006,
glcm,SumSquares,UR99,3.1,3.099320789,3.099320789,
glcm,JointEntropy,TU9B,2.4,2.399711278,2.399711278,
glcm,DifferenceAverage,TF7R,1.43,1.430981176,1.430981176,
glcm,DifferenceVariance,D3YU,3.06,3.056282622,3.056282622,
glcm,DifferenceEntropy,NTRS,1.56,1.562733277,1.562733277,
glcm,SumAverage,ZGXS,4.29,4.285990012,4.285990012,
glcm,SumEntropy,P6QZ,1.92,1.922606453,1.922606453,
glcm,JointEnergy,8ZQL,0.303,0.3029752503,0.3029752503,
glcm,Contrast,ACUI,5.32,5.324479994,5.324479994,
glcm,Id,IB1Z,0.677,0.6766151333,0.6766151333,
glcm,Idn,NDRX,0.851,0.8506785598,0.8506785598,
glcm,Idm,WF0Z,0.618,0.6177393638,0.6177393638,
glcm,Idmn,1QCO,0.898,0.8984432172,0.8984432172,
glcm,InverseVariance,E8JP,0.0604,0.06041630527,0.06041630527,
glcm,Correlation,NI2N,0.157,0.1573500301,0.1573500301,
glcm,Autocorrelation,QWB0,5.06,5.05543601,5.05543601,
glcm,ClusterTendency,DG8W,7.07,7.072803163,7.072803163,
glcm,ClusterShade,7NFM,16.6,16.64409305,16.64409305,
glcm,ClusterProminence,AE86,145,144.7033814,144.7033814,IBSI rounded
glcm,Imc1,R8DG,-0.157,-0.1568482348,-0.1568482348,
glcm,Imc2,JN9H,0.52,0.5195878631,0.5195878631,
glrlm,ShortRunEmphasis,22OV,0.705,0.7052347296,0.7052347296,
glrlm,LongRunEmphasis,W4KF,3.06,3.061120906,3.061120906,
glrlm,LowGrayLevelRunEmphasis,V3SW,0.603,0.6029798426,0.6029798426,
