,p_value,odds_ratio,ci_lower,ci_upper
compactness error,4.6418035364654085e-05,0.558010033493926,0.42142751409001616,0.7388582545499941
concavity error,0.00793273910700011,0.6278351406916952,0.44525360652353946,0.8852864033264636
concave points error,2.26626413407452e-07,0.4341334187483244,0.3165233123950509,0.5954437410881047
symmetry error,0.38959093046551097,1.1061672455208105,0.8790097778686703,1.3920277178599392
fractal dimension error,0.5724087327368346,0.9362071039090386,0.7446901418065471,1.1769777686105574
worst radius,1.805851701812537e-13,0.0025544366311132643,0.0005212998567063454,0.01251706943408768
worst texture,4.041707952710838e-15,0.22967878388605242,0.15910403373391913,0.331558807965846
worst perimeter,8.927882098625439e-14,0.0021994569776753936,0.00044022590373195075,0.010988928537904829
worst area,3.1008439270215643e-13,0.0007268661482847354,0.00010414286460734504,0.005073169434260254
worst smoothness,1.2332321468605701e-11,0.33921639884202054,0.2481259244674253,0.46374745198563566
worst compactness,4.1439943925345955e-17,0.11236272225079666,0.0675049134456388,0.18702907251005957
worst concavity,6.087135405968189e-18,0.1041214572167099,0.06229260910268652,0.17403794782555665
worst concave points,4.872688004148902e-19,0.022907300911052735,0.009986630751397033,0.05254469180770607
worst symmetry,7.070708311157666e-11,0.29791394022580164,0.20700351177307905,0.4287498072890417
worst fractal dimension,2.210015619226585e-08,0.407873918541641,0.2979088622665338,0.5584296222704273
